source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err
"Herrmann et al., 2017",Liu,WRZ,-31.18,20.9,,-19,,,29,-117,
"Herrmann et al., 2017",Liu,WRZ,-31.18,20.9,,-19,,,29,-107,
"Herrmann et al., 2017",Liu,WRZ,-31.08,18.15,,-12,,,29,-114,
"Herrmann et al., 2017",Liu,WRZ,-30.5,19.46,,-13,,,29,-114,
"Herrmann et al., 2017",Liu,WRZ,-30.46,18.29,,-15,,,29,-109,
"Herrmann et al., 2017",Liu,WRZ,-30.46,18.29,,-15,,,29,-142,
"Herrmann et al., 2017",Liu,YRZ,-30.4,20.24,,-26,,,29,-114,
"Herrmann et al., 2017",Liu,WRZ,-30.26,18.46,,-15,,,29,-95,
"Herrmann et al., 2017",Liu,WRZ,-30.24,18.46,,-16,,,29,-82,
"Herrmann et al., 2017",Liu,SRZ,-29.87,26.4,,-31,,,29,-112,
"Herrmann et al., 2017",Liu,SRZ,-29.8,25.33,,-33,,,29,-127,
"Herrmann et al., 2017",Liu,SRZ,-29.62,23.44,,-26,,,29,-117,
"Herrmann et al., 2017",Liu,SRZ,-29.57,22.2,,-24,,,29,-101,
"Herrmann et al., 2017",Liu,SRZ,-29.46,20.47,,-24,,,29,-75,
"Herrmann et al., 2017",Liu,SRZ,-29.46,20.47,,-24,,,29,-116,
"Herrmann et al., 2017",Liu,SRZ,-29.4,22.55,,-28,,,29,-88,
"Herrmann et al., 2017",Liu,YRZ,-29.31,19.26,,-27,,,29,-95,
"Herrmann et al., 2017",Liu,SRZ,-29.29,22.45,,-27,,,29,-104,
"Herrmann et al., 2017",Liu,SRZ,-29.23,21.7,,-23,,,29,-111,
"Herrmann et al., 2017",Liu,SRZ,-29.22,23.2,,-27,,,29,-113,
"Herrmann et al., 2017",Liu,SRZ,-29.22,23.2,,-27,,,29,-111,
"Herrmann et al., 2017",Liu,SRZ,-28.58,25.3,,-29,,,29,-111,
"Herrmann et al., 2017",Liu,YRZ,-28.57,19.23,,-25,,,29,-110,
"Herrmann et al., 2017",Liu,SRZ,-28.57,27.5,,-32,,,29,-117,
"Herrmann et al., 2017",Liu,SRZ,-28.56,24.13,,-24,,,29,-116,
"Herrmann et al., 2017",Liu,SRZ,-28.5,26.36,,-30,,,29,-126,
