Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
Garcin et al. 2012,Manual extraction,"Ossa, Cameroon",3.7686,10.0049,17.0,-147.0,4.0,Lake sediment,Guinea-Congolia forest,Tropical forest,-12.6,1.0,-136.1,2900.0,26.3,Guinea-Congolia,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Debundscha, Cameroon",4.1034,8.9805,70.0,-153.0,5.0,Lake sediment,Guinea-Congolia forest,Tropical forest,-8.4,0.0,-145.8,11700.0,25.7,Guinea-Congolia,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Barombi Mbo, Cameroon",4.6544,9.4086,304.0,-164.0,1.0,Lake sediment,Guinea-Congolia forest,Tropical forest,-15.8,3.0,-150.6,2550.0,24.9,Guinea-Congolia,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Manengouba F., Cameroon",5.0364,9.8284,1911.0,-185.0,4.0,Lake sediment,Transition zone vegetation,Montane forest,-38.8,10.0,-152.1,2700.0,16.0,Transition zone,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Baleng, Cameroon",5.5503,10.4211,1376.0,-150.0,1.0,Lake sediment,Transition zone vegetation,Mixed forest/savanna,-19.8,9.0,-132.8,1850.0,20.5,Transition zone,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Assom, Cameroon",6.6245,12.9816,896.0,-154.0,3.0,Lake sediment,Transition zone vegetation,Mixed forest/savanna,-14.9,8.0,-141.2,1740.0,23.0,Transition zone,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Tabere, Cameroon",7.1307,13.694,1161.0,-167.0,1.0,Lake sediment,Transition zone vegetation,Mixed forest/savanna,-15.6,5.0,-153.8,1450.0,21.7,Transition zone,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Tizong, Cameroon",7.2533,13.5769,1155.0,-155.0,1.0,Lake sediment,Transition zone vegetation,Mixed forest/savanna,-15.6,4.0,-141.6,1450.0,21.9,Transition zone,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Mamguiewa, Cameroon",8.3909,13.7089,322.0,-156.0,8.0,Lake sediment,Transition zone vegetation,Mixed forest/savanna,-17.9,10.0,-140.6,1560.0,26.3,Transition zone,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Rhumsiki, Cameroon",10.5082,13.5838,1028.0,-167.0,3.0,Lake sediment,Sudano-Sahelian vegetation,Savanna/grassland,-26.0,5.0,-144.8,970.0,22.7,Sudano-Sahelian,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
Garcin et al. 2012,Manual extraction,"Mora, Cameroon",11.0547,14.1457,438.0,-170.0,3.0,Lake sediment,Sudano-Sahelian vegetation,Savanna/grassland,-27.6,3.0,-146.4,540.0,27.2,Sudano-Sahelian,,10.1016/j.gca.2011.11.039,Manual extraction,Both,OK
"Garcin et al., 2012",Ladd,MANE,5.03,9.83,1911.0,-184.83,,Lake sediment,,,-36.60037978,,-153.9,,,,,,,User compilation,OK
Gaviria-Lugo et al. 2023,Manual extraction,"Chile, humid zone (mean)",-38.0,-73.0,,-185.0,,Soil/river sediment,Humid zone vegetation,Temperate forest,,,-121.0,,,Humid,Mean of humid-zone sites; epsilon approx constant,10.5194/bg-20-4433-2023,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
Gaviria-Lugo et al. 2023,Manual extraction,"Chile, semiarid zone (mean)",-32.0,-71.0,,-140.0,,Soil/river sediment,Semiarid vegetation,Mediterranean scrub,,,-121.0,,,Semiarid,Mean of semiarid sites,10.5194/bg-20-4433-2023,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
Gaviria-Lugo et al. 2023,Manual extraction,"Chile, hyperarid zone (mean)",-24.0,-70.0,,-90.0,,Soil/river sediment,Hyperarid vegetation,Desert,,,-86.0,,,Hyperarid,Mean of hyperarid sites; epsilon less negative due to evapotranspiration,10.5194/bg-20-4433-2023,Manual extraction,Computer v6,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Maullin B,-41.4787,-73.2756,,-185.2,0.7,Soil,,,-50.0,1.5,-142.3,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Rio Maullin,-41.474,-73.2726,,-168.4,9.1,Soil,,,-53.8,1.4,-121.1,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Maullin A,-41.474,-73.2726,,-173.9,7.9,Soil,,,-50.0,1.5,-130.4,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7194-1_1-2 cm,-41.4175,-74.4337,,-164.1,4.5,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Llico,-41.2269,-73.753,,-171.2,5.0,Soil,,,-54.8,1.6,-123.1,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Bueno,-40.3326,-73.4128,,-163.8,3.2,Soil,,,-57.8,0.8,-112.5,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Rio Bueno,-40.29,-73.5354,,-165.1,0.2,Soil,,,-61.1,1.0,-110.8,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7214-1_1-2 cm,-39.875,-74.1672,,-155.9,1.6,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio CalleCalle,-39.7902,-73.1749,,-170.0,2.3,Soil,,,-63.5,1.0,-113.7,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,CalleCalle,-39.7885,-72.9681,,-160.8,1.9,Soil,,,-55.0,0.4,-112.0,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7212-1_1-2 cm,-39.7,-74.38,,-153.8,2.9,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Cruces,-39.5493,-72.8419,,-160.4,6.1,Soil,,,-57.3,0.5,-109.4,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Rio Tolten,-39.0747,-73.1397,,-179.1,0.2,Soil,,,-61.8,1.2,-125.0,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7207-1_1-2 cm,-39.07,-74.37,,-166.3,4.1,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB7209-2_1-2 cm,-38.9913,-74.1642,,-161.5,5.9,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Imperial,-38.7287,-73.1267,,-163.4,1.4,Soil,,,-54.5,0.9,-115.2,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7198-1_1-2 cm,-38.17,-74.39,,-150.6,2.6,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Estero Los Gringos,-37.8035,-72.9371,,-173.6,0.1,Soil,,,-57.4,2.3,-123.3,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,BioBio B,-37.3473,-72.885,,-164.2,2.2,Soil,,,-38.7,1.4,-130.6,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,Rio BioBio,-37.1131,-72.9647,,-158.1,1.8,Soil,,,-54.9,1.7,-109.2,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,BioBio A,-37.1126,-72.9619,,-178.7,1.3,Soil,,,-34.3,1.4,-149.5,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7162-4_1-2 cm,-36.5427,-73.6672,,-164.8,0.3,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB7167-4_1-2 cm,-36.45,-73.91,,-149.8,2.7,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Itata,-36.3999,-72.7762,,-175.4,0.2,Soil,,,-47.3,1.2,-134.5,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7160-4_1-2 cm,-36.0385,-73.0735,,-168.0,2.2,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Chovellen,-35.9254,-72.623,,-158.0,3.0,Soil,,,-42.7,0.9,-120.4,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7157-1_1-2 cm,-35.78,-73.59,,-164.2,3.3,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Maule,-35.3882,-72.2978,,-155.2,0.7,Soil,,,-51.5,1.8,-109.3,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB3355-4_1-2 cm,-35.2183,-73.1167,,-162.8,1.1,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,GeoB3352-2_1-2 cm,-35.2167,-73.3167,,-166.3,0.5,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rapel,-34.5693,-71.6361,,-170.0,0.1,Soil,,,-44.0,0.8,-131.8,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,GeoB7152-1_1-2 cm,-33.8,-72.1102,,-167.8,0.4,Soil,,,,,,,,,,,,User compilation,"Missing: elevation, d2H_precip"
"Gaviria-Lugo et al., 2023",,Rio Maipo,-33.7738,-71.5272,,-167.2,6.8,Soil,,,-63.3,2.8,-110.9,,,,,,,User compilation,Missing: elevation
"Gaviria-Lugo et al., 2023",,SanAntonio-Maipo,-33.7736,-71.5246,,-182.7,1.1,Soil,,,-44.1,0.6,-145.0,,,,,,,User compilation,Missing: elevation
