Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1700.0,-193.0,,Lake sediment,,,-63.0,,-138.7,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1220.0,-195.0,,Lake sediment,,,-57.0,,-146.3,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2846.0,-196.0,,Lake sediment,,,-79.0,,-127.0,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2420.0,-197.0,,Lake sediment,,,-73.0,,-133.8,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2005.0,-199.0,,Lake sediment,,,-67.0,,-141.5,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2540.0,-200.0,,Lake sediment,,,-75.0,,-135.1,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2085.0,-206.0,,Lake sediment,,,-68.0,,-148.1,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2764.0,-207.0,,Lake sediment,,,-78.0,,-139.9,,,,,,,User compilation,OK
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",25.92,100.12,1967.0,-172.0,,Sediment/soil,Mixed vegetation,Mixed,-73.0,2.0,-106.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",29.83,94.46,4132.0,-232.0,,Sediment/soil,Mixed vegetation,Mixed,-127.0,,-120.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",34.02,97.22,4541.0,-180.0,,Sediment/soil,Mixed vegetation,Mixed,-111.0,4.0,-77.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",34.16,95.98,4701.0,-188.0,,Sediment/soil,Mixed vegetation,Mixed,-113.0,5.0,-84.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",34.68,98.06,4233.0,-169.0,,Sediment/soil,Mixed vegetation,Mixed,-97.0,4.0,-79.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",35.23,98.65,4095.0,-162.0,,Sediment/soil,Mixed vegetation,Mixed,-75.0,5.0,-94.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Qaidam Basin, Asia",37.04,100.58,3205.0,-150.0,,Sediment/soil,Mixed vegetation,Mixed,-57.0,6.0,-98.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.2,81.2,3200.0,-190.0,,Sediment/soil,Mixed vegetation,Mixed,-55.0,,-142.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.22,81.22,3000.0,-183.0,,Sediment/soil,Mixed vegetation,Mixed,-52.0,,-138.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.22,81.23,2900.0,-186.0,,Sediment/soil,Mixed vegetation,Mixed,-50.0,,-143.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.23,81.67,2450.0,-189.0,,Sediment/soil,Mixed vegetation,Mixed,-44.0,,-151.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.55,77.05,4650.0,-194.0,,Sediment/soil,Mixed vegetation,Mixed,-117.0,,-87.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.55,77.13,4450.0,-190.0,,Sediment/soil,Mixed vegetation,Mixed,-112.0,,-87.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.57,77.0,4993.0,-198.0,,Sediment/soil,Mixed vegetation,Mixed,-123.0,,-85.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.63,80.75,1900.0,-190.0,,Sediment/soil,Mixed vegetation,Mixed,-35.0,,-160.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.65,77.12,3836.0,-183.0,,Sediment/soil,Mixed vegetation,Mixed,-104.0,,-88.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.47,103.57,3100.0,-214.0,,Sediment/soil,Mixed vegetation,Mixed,-57.0,,-166.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.73,103.98,3640.0,-217.0,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-161.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 10,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.74,103.96,3590.0,-235.0,,Sediment/soil,Mixed vegetation,Mixed,-65.0,,-181.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 10,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,NOTE: ε outside typical range (-182‰)
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.77,103.95,3060.0,-201.0,,Sediment/soil,Mixed vegetation,Mixed,-57.0,,-152.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.77,103.95,3430.0,-210.0,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-156.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.78,103.95,3200.0,-217.0,,Sediment/soil,Mixed vegetation,Mixed,-59.0,,-167.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.78,103.98,2720.0,-241.0,,Sediment/soil,Mixed vegetation,Mixed,-52.0,,-199.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,NOTE: ε outside typical range (-199‰)
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.78,104.04,2350.0,-212.0,,Sediment/soil,Mixed vegetation,Mixed,-46.0,,-174.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,NOTE: ε outside typical range (-174‰)
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.79,104.0,2550.0,-206.0,,Sediment/soil,Mixed vegetation,Mixed,-49.0,,-165.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.83,104.08,2060.0,-215.0,,Sediment/soil,Mixed vegetation,Mixed,-42.0,,-180.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,NOTE: ε outside typical range (-181‰)
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.53,101.83,3835.0,-158.0,,Sediment/soil,Mixed vegetation,Mixed,-71.0,,-93.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: NA,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.54,101.83,3727.0,-170.0,,Sediment/soil,Mixed vegetation,Mixed,-70.0,,-107.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.56,101.85,3495.0,-181.0,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-123.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.61,101.83,3250.0,-171.0,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-115.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.63,101.83,3168.0,-166.0,,Sediment/soil,Mixed vegetation,Mixed,-62.0,,-110.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.64,101.85,3035.0,-163.0,,Sediment/soil,Mixed vegetation,Mixed,-60.0,,-109.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.64,101.85,3058.0,-176.0,,Sediment/soil,Mixed vegetation,Mixed,-60.0,,-123.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.65,101.86,2967.0,-157.0,,Sediment/soil,Mixed vegetation,Mixed,-59.0,,-104.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.66,101.86,2885.0,-148.0,,Sediment/soil,Mixed vegetation,Mixed,-57.0,,-96.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.71,101.92,2637.0,-160.0,,Sediment/soil,Mixed vegetation,Mixed,-54.0,,-112.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.73,101.93,2568.0,-156.0,,Sediment/soil,Mixed vegetation,Mixed,-53.0,,-108.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.75,101.95,2514.0,-142.0,,Sediment/soil,Mixed vegetation,Mixed,-52.0,,-94.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.8,102.0,2363.0,-147.0,,Sediment/soil,Mixed vegetation,Mixed,-50.0,,-102.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.88,102.07,2184.0,-164.0,,Sediment/soil,Mixed vegetation,Mixed,-47.0,,-122.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.88,102.07,2184.0,-167.0,,Sediment/soil,Mixed vegetation,Mixed,-47.0,,-125.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.89,102.12,2143.0,-169.0,,Sediment/soil,Mixed vegetation,Mixed,-47.0,,-128.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.89,102.17,2098.0,-161.0,,Sediment/soil,Mixed vegetation,Mixed,-47.0,,-119.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.92,102.22,2059.0,-157.0,,Sediment/soil,Mixed vegetation,Mixed,-46.0,,-116.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.94,102.3,1924.0,-155.0,,Sediment/soil,Mixed vegetation,Mixed,-42.0,,-118.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",38.0,102.35,1793.0,-174.0,,Sediment/soil,Mixed vegetation,Mixed,-42.0,,-137.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",38.02,102.38,1755.0,-159.0,,Sediment/soil,Mixed vegetation,Mixed,-42.0,,-122.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.22,97.978,2779.0,-166.0,,Sediment/soil,Mixed vegetation,Mixed,-50.0,,-122.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.31,97.72,3945.0,-161.0,,Sediment/soil,Mixed vegetation,Mixed,-67.0,,-100.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.33,97.74,3420.0,-158.0,,Sediment/soil,Mixed vegetation,Mixed,-59.0,,-105.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.33,97.74,4040.0,-168.0,,Sediment/soil,Mixed vegetation,Mixed,-69.0,,-106.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 10,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.34,97.79,3754.0,-169.0,,Sediment/soil,Mixed vegetation,Mixed,-65.0,,-111.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Santa Lucia, North America",14.12,-87.09,1405.0,-92.7,,Sediment/soil,Mixed vegetation,Mixed,-43.0,,-51.9,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,NOTE: ε outside typical range (-52‰)
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Guangolo, North America",14.26,-87.24,829.0,-131.2,,Sediment/soil,Mixed vegetation,Mixed,-35.0,,-99.7,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"El Chile, North America",14.35,-86.85,1380.0,-118.5,,Sediment/soil,Mixed vegetation,Mixed,-43.0,,-78.9,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Comayagua, North America",14.45,-87.65,563.0,-132.8,,Sediment/soil,Mixed vegetation,Mixed,-32.0,,-104.1,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Rio Jalan, North America",14.45,-86.81,765.0,-124.8,,Sediment/soil,Mixed vegetation,Mixed,-33.0,,-94.9,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Rio Rosario, North America",14.48,-86.98,891.0,-118.9,,Sediment/soil,Mixed vegetation,Mixed,-36.0,,-86.0,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Taulabe, North America",14.71,-87.97,557.0,-112.0,,Sediment/soil,Mixed vegetation,Mixed,-32.0,,-82.6,,,North America,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
