row_index,cluster_id,action,source,location,latitude,longitude,d2H_wax,d2H_wax_err,data_source
624,53,KEEP,"Struck et al., 2020",UGC3,47.76,102.81,-184.7,,original
625,53,REMOVE,"Struck et al., 2020",UGC12,47.75,102.77,-184.7,,original
635,54,KEEP,"Struck et al., 2020",TLC2,48.79,97.3,-189.0,,original
637,54,REMOVE,"Struck et al., 2020",TLC3,48.79,97.3,-190.9,,original
639,55,KEEP,"Struck et al., 2020",TLC12,48.78,97.33,-190.7,,original
640,55,REMOVE,"Struck et al., 2020",TLC5,48.79,97.34,-190.7,,original
667,56,KEEP,"van der Veen et al., 2020",S127 sp1,31.39,76.88,-147.38,,original
668,56,REMOVE,"van der Veen et al., 2020",S127 sp2,31.39,76.88,-146.51,,original
827,57,KEEP,"Wang et al., 2023",Techeng T1,21.15,110.44,-131.0,,original
828,57,REMOVE,"Wang et al., 2023",Techeng T2,21.15,110.44,-131.0,,original
830,58,KEEP,"Wang et al., 2023",Techeng T4,21.15,110.44,-135.0,,original
832,58,REMOVE,"Wang et al., 2023",Techeng T6,21.16,110.44,-135.0,,original
833,59,KEEP,"Corcoran et al., 2022",Tarn 2,-51.6959,-58.8276,-165.0,,original
834,59,REMOVE,"Corcoran et al., 2022",Tarn 2,-51.6959,-58.8276,-161.0,,original
836,59,REMOVE,"Corcoran et al., 2022",Tarn 4,-51.7022,-58.8276,-165.0,,original
837,59,REMOVE,"Corcoran et al., 2022",Tarn 4,-51.7022,-58.8276,-163.0,,original
845,60,KEEP,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",27.9656,85.9669,-190.0,2.475,v7_new
849,60,REMOVE,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",27.9747,85.9761,-189.0,2.475,v7_new
853,60,REMOVE,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",28.0042,85.9775,-190.0,2.475,v7_new
860,61,KEEP,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",28.1256,85.9889,-210.0,2.475,v7_new
861,61,REMOVE,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",28.1431,85.9831,-210.0,2.475,v7_new
895,62,KEEP,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",29.3296,97.055,-223.0,2.475,v7_new
897,62,REMOVE,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",29.3351,97.0604,-223.0,2.475,v7_new
903,63,KEEP,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",29.5363,96.5,-200.0,2.475,v7_new
904,63,REMOVE,Hren & Brandon 2026,"Himalaya, drainage: Brahmaputra",29.5363,96.5,-201.0,2.475,v7_new
1033,64,KEEP,Sisley & Wolhowe (2023),"Cascades transect, WA, Leader Lake State Park",48.4,-119.7,-230.0,3.1,v7_new
1037,64,REMOVE,Sisley & Wolhowe (2023),"Cascades transect, WA, Leader Lake State Park",48.4,-119.7,-228.3,1.0,v7_new
