"obs_id","source","compilation","location","DOI","latitude","longitude","elevation","d2H_precip","d2H_precip_err","d2H_wax","d2H_wax_err","archive_class"
"obs_0134","Gaviria-Lugo et al., 2023","","GeoB7138-1_1-2 cm","10.5194/bg-20-4433-2023",-30.13,-71.87,NA,NA,NA,-154.6,5.2,"marine sediment"
"obs_0135","Gaviria-Lugo et al., 2023","","Talca B","10.5194/bg-20-4433-2023",-30.0548,-71.0894,NA,-42.6,0.9,-153.5,2.4,"soil"
"obs_0136","Gaviria-Lugo et al., 2023","","Talca A","10.5194/bg-20-4433-2023",-30.0545,-71.094,NA,-42.6,0.9,-160.9,0.1,"soil"
"obs_0137","Gaviria-Lugo et al., 2023","","Rio Elqui","10.5194/bg-20-4433-2023",-29.9459,-71.1293,NA,-70.2,5.2,-154.7,8,"fluvial sediment"
"obs_0138","Gaviria-Lugo et al., 2023","","GeoB7134-1_1-2 cm","10.5194/bg-20-4433-2023",-29.72,-71.77,NA,NA,NA,-153.2,3.6,"marine sediment"
"obs_0139","Gaviria-Lugo et al., 2023","","GeoB7135-1_1-2 cm","10.5194/bg-20-4433-2023",-29.6667,-71.6758,NA,NA,NA,-155.6,1.3,"marine sediment"
"obs_0140","Gaviria-Lugo et al., 2023","","Choros","10.5194/bg-20-4433-2023",-29.3332,-71.2311,NA,-40.2,1,-103,1.7,"soil"
"obs_0141","Gaviria-Lugo et al., 2023","","Quebrada Los Choros","10.5194/bg-20-4433-2023",-29.3302,-71.2364,NA,-54.7,2.8,-151.6,6.5,"fluvial sediment"
"obs_0142","Gaviria-Lugo et al., 2023","","Rio Huasco","10.5194/bg-20-4433-2023",-28.4873,-71.1486,NA,-69.5,5.2,-158.2,7,"fluvial sediment"
"obs_0143","Gaviria-Lugo et al., 2023","","GeoB7130-1_1-2 cm","10.5194/bg-20-4433-2023",-28.42,-71.613,NA,NA,NA,-152.1,5.5,"marine sediment"
"obs_0144","Gaviria-Lugo et al., 2023","","GeoB7129-1_1-2 cm","10.5194/bg-20-4433-2023",-28.4168,-71.33,NA,NA,NA,-155.8,10.8,"marine sediment"
